provider,category,total_amount_millions,dem_amount_millions,rep_amount_millions,dem_pct,rep_pct,party_lean,data_source,notes
Waterfront Strategies,Digital Consulting / Media Buying,858.4,858.4,0.0,100.0,0.0,Democrat,OpenSecrets,"Top D media buying firm affiliated with GMMB; Future Forward PAC alone paid $383M"
WinRed,Fundraising Platform,311.2,0.0,311.2,0.0,100.0,Republican,FEC API,"Primary R online fundraising platform; 99.4% from Trump committees"
ActBlue,Fundraising Platform,296.9,296.9,0.0,100.0,0.0,Democrat,FEC API,"Primary D online fundraising platform; processes most small-dollar Dem donations"
Targeted Victory,Digital Consulting / Media Buying,142.4,0.0,142.4,0.0,100.0,Republican,OpenSecrets,"Top R digital consulting firm; founded by Zac Moffatt"
Bully Pulpit Interactive,Digital Consulting / Media Buying,116.3,116.3,0.0,100.0,0.0,Democrat,OpenSecrets,"Top D digital consulting firm; founded by Obama campaign veterans; $101M from Harris/Biden"
NGP VAN,CRM / Voter File,78.9,78.9,0.0,100.0,0.0,Democrat,FEC API,"Primary D voter file and CRM platform; now part of Bonterra"
Google Inc,Digital Ad Platform,71.8,50.3,21.5,70.0,30.0,Both,OpenSecrets,"Direct FEC-reported payments to Google; most spend goes through intermediaries"
Scale to Win,SMS / P2P Texting,51.4,51.4,0.0,100.0,0.0,Democrat,OpenSecrets,"Dominant D P2P texting platform; ~2 cents per SMS"
Majority Strategies,Digital Consulting / Media Buying,33.0,0.0,33.0,0.0,100.0,Republican,OpenSecrets,"R digital and direct mail consulting firm"
Push Digital,Digital Consulting / Media Buying,29.8,0.0,29.8,0.0,100.0,Republican,OpenSecrets,"R digital consulting firm"
Anedot,Fundraising Platform,28.8,0.4,28.4,1.4,98.6,Republican,FEC API,"Secondary R fundraising platform; popular with House/Senate candidates"
EveryAction,CRM / Fundraising,28.6,28.6,0.0,100.0,0.0,Democrat,FEC API,"D-aligned CRM and fundraising platform; now part of Bonterra with NGP VAN"
Meta / Facebook,Digital Ad Platform,24.4,17.1,7.3,70.0,30.0,Both,OpenSecrets,"Direct FEC-reported payments to Meta; most spend goes through intermediaries"
Axiom Strategies,Digital Consulting / Media Buying,13.7,0.0,13.7,0.0,100.0,Republican,OpenSecrets,"Major R consulting firm founded by Jeff Roe; 17 subsidiary companies"
GOP Data Trust,Data / Analytics,7.0,0.0,7.0,0.0,100.0,Republican,OpenSecrets,"RNC voter file provider; served 5000+ R campaigns in 2024"
Revv,Fundraising Platform,6.9,0.0,6.9,0.0,100.0,Republican,FEC API,"R-aligned fundraising/payment processing platform"
i360,Data / Analytics,4.3,0.0,4.3,0.0,100.0,Republican,OpenSecrets,"Koch-backed data analytics; 270M voter profiles; 37% of R professionals use it"
RumbleUp,SMS / P2P Texting,2.3,0.0,2.3,0.0,100.0,Republican,OpenSecrets,"R-aligned P2P texting platform"
Hustle,SMS / P2P Texting,1.5,1.5,0.0,100.0,0.0,Democrat,OpenSecrets,"D-leaning P2P texting platform; originally built on Twilio"
Catalist,Data / Analytics,1.1,1.1,0.0,100.0,0.0,Democrat,OpenSecrets,"D-exclusive voter data and analytics firm; 256M voter records"
